,,,,TestCentral,,,
,,,,,,,
,,,,,,,
,,,,,,,
Regression Level,TestCase,Case Description,Result,Assigned To,CR/BR Reasons,Comments,
2,DSR SI&T.A/V Presentation.Audio:003-002,Dolby Digital 48kHz sample rate,P,"Purba, Josua (jpurba)",,,
2,DSR SI&T.A/V Presentation.Audio:003-003,Dolby Digital Pass through to digital audio outputs and two channel to analog,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:003-004,Independently configure output of digital audio outputs,P,"Purba, Josua (jpurba)",,,
4,DSR SI&T.A/V Presentation.Audio:003-005,Dolby Digital decode to 2 channel LPCM to digital output and 2 channel to analog outputs,P,"Purba, Josua (jpurba)",,,
5,DSR SI&T.A/V Presentation.Audio:003-006,"Dolby Digital pass to one digital output, decode to LPCM to the other, and 2 channel analog output",P,"Purba, Josua (jpurba)",,,
4,DSR SI&T.A/V Presentation.Audio:003-007,Dolby digital mono map to both left and right channels,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:003-008,Acquire the first Dolby Digital audio component if no stream matches the preferred language.,F,"Purba, Josua (jpurba)",OKDSR8XX-382,"Jira # OKDSR8XX-382: Stream play OK on 6xx unit in server lab. However, Both 830 and 800 show blank/black screen and no audio output.",
3,DSR SI&T.A/V Presentation.Audio:003-009,Acquire the first matching Dolby Digital audio component when there is more than one,P,"Purba, Josua (jpurba)",,Use Channel 804.,
3,DSR SI&T.A/V Presentation.Audio:003-010,Max DD bit rate,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:003-011,Dolby Digital 32kHz sample rate,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:003-012,AC-3 preferred over AAC,F,"Purba, Josua (jpurba)",OKDSR8XX-381,"Video runs on 6xx in server room, however, on 830 and 800 screens are blank and no audio.",
4,DSR SI&T.A/V Presentation.Audio:004-001,Dolby Digital Plus sample rates,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:004-002,Dolby Digital Plus remap to Dolby Digital for Digital outputs and downmixed to Dolby Surround for analog,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:004-003,Dolby Digital Plus decoded to LPCM for digital outputs and downmixed to Dolby Surround for analog,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:004-004,"Dolby Digital Plus remap to Dolby Digital for one Digital output, LPCM for the other, and baseband analog audio",P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:004-005,Dolby Digital Plus pass through to HDMI,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:004-006,"Dolby Digital Plus pass through to HDMI, decoded to LCPM for optical, plus baseband analog audio",P,"Purba, Josua (jpurba)",,"For 800 units, check only HDMI and Analog. No Digital Audio input/Output.",
